username,account_type,followers_count,country,post_id,category,region,title,interactions,score
news_feed_657,verified_creator,366517,EGYPT,P100043,business,ASIA PACIFIC,Creator diary,2,2
social_media_870,verified_creator,0,SAUDI ARABIA,P100222,sports,MIDDLE EAST,Travel moments,1,1
social_media_870,verified_creator,0,SAUDI ARABIA,P100122,news,EUROPE,Market watch,0,0
social_media_870,verified_creator,0,SAUDI ARABIA,P100074,technology,ASIA PACIFIC,Travel moments,1,2
social_media_870,verified_creator,0,SAUDI ARABIA,P100073,technology,ASIA PACIFIC,Weekly roundup,1,1
social_media_870,verified_creator,0,SAUDI ARABIA,P100047,technology,EUROPE,Behind the scenes,2,2
social_media_870,verified_creator,0,SAUDI ARABIA,P100025,lifestyle,NORTH AMERICA,Weekly roundup,0,0
news_lab_456,personal,65210,CANADA,P100032,technology,MIDDLE EAST,Creator diary,7,7
news_lab_456,personal,65210,CANADA,P100011,lifestyle,LATIN AMERICA,Study notes,2,2
spark_studio_810,verified_creator,0,UAE,P100058,technology,NORTH AMERICA,Breaking story,3,4
spark_studio_810,verified_creator,0,UAE,P100179,sports,MIDDLE EAST,Creator diary,0,0
spark_studio_810,verified_creator,0,UAE,P100058,technology,NORTH AMERICA,Breaking story,3,4
spark_studio_810,verified_creator,0,UAE,P100056,sports,MIDDLE EAST,Breaking story,0,0
spark_studio_810,verified_creator,0,UAE,P100021,lifestyle,NORTH AMERICA,Study notes,0,0
spark_feed_532,verified_creator,2000,GERMANY,P100164,education,NORTH AMERICA,Travel moments,2,2
spark_feed_532,verified_creator,2000,GERMANY,P100059,lifestyle,LATIN AMERICA,Creator diary,2,2
spark_feed_532,verified_creator,2000,GERMANY,P100034,business,MIDDLE EAST,Community question,0,0
smart_feed_361,brand,4243,TURKEY,P100141,news,AFRICA,Launch teaser,0,0
trend_feed_438,personal,77,SWEDEN,P100213,sports,LATIN AMERICA,Weekly roundup,0,0
trend_feed_438,personal,77,SWEDEN,P100187,technology,NORTH AMERICA,Market watch,1,1
trend_feed_438,personal,77,SWEDEN,P100160,technology,LATIN AMERICA,Community question,3,3
food_spot_591,creator,246,NETHERLANDS,P100223,entertainment,ASIA PACIFIC,Weekly roundup,7,7
food_spot_591,creator,246,NETHERLANDS,P100090,news,EUROPE,Breaking story,0,0
food_spot_591,creator,246,NETHERLANDS,P100042,entertainment,ASIA PACIFIC,Quick tips,0,0
travel_media_414,creator,420,FRANCE,P100053,lifestyle,EUROPE,Market watch,2,2
tech_studio_345,verified_creator,11971,GERMANY,P100191,entertainment,EUROPE,Quick tips,2,3
tech_studio_345,verified_creator,11971,GERMANY,P100191,entertainment,EUROPE,Quick tips,2,3
tech_studio_345,verified_creator,11971,GERMANY,P100166,technology,NORTH AMERICA,Morning update,2,2
daily_media_662,creator,192,JORDAN,P100220,entertainment,MIDDLE EAST,Community question,1,1
daily_media_662,creator,192,JORDAN,P100184,lifestyle,,Community question,0,0
daily_media_662,creator,192,JORDAN,P100146,health,ASIA PACIFIC,Launch teaser,4,6
daily_media_662,creator,192,JORDAN,P100123,technology,NORTH AMERICA,Morning update,1,2
daily_media_662,creator,192,JORDAN,P100089,travel,AFRICA,Behind the scenes,1,1
daily_media_662,creator,192,JORDAN,P100024,lifestyle,MIDDLE EAST,Breaking story,0,0
social_lab_479,media,4181,SPAIN,P100072,health,ASIA PACIFIC,Market watch,1,1
social_lab_479,media,4181,SPAIN,P100023,sports,NORTH AMERICA,Morning update,0,0
travel_feed_437,media,853,UAE,P100167,news,LATIN AMERICA,Match highlights,3,3
global_lab_121,media,95,USA,P100101,health,AFRICA,Morning update,2,3
global_lab_121,media,95,USA,P100064,health,MIDDLE EAST,Study notes,1,1
travel_vibes_862,verified_creator,177,NETHERLANDS,P100208,news,ASIA PACIFIC,Community question,3,3
travel_vibes_862,verified_creator,177,NETHERLANDS,P100077,technology,AFRICA,Breaking story,3,3
stream_media_249,verified_creator,235,NETHERLANDS,P100219,education,ASIA PACIFIC,Travel moments,4,4
stream_media_249,verified_creator,235,NETHERLANDS,P100210,business,ASIA PACIFIC,Creator diary,3,5
stream_media_249,verified_creator,235,NETHERLANDS,P100133,news,MIDDLE EAST,Travel moments,2,2
stream_media_249,verified_creator,235,NETHERLANDS,P100085,technology,EUROPE,Travel moments,3,3
trend_hub_637,brand,2115,BRAZIL,P100013,technology,LATIN AMERICA,Study notes,2,2
trend_hub_637,brand,2115,BRAZIL,P100116,sports,NORTH AMERICA,Community question,2,2
trend_hub_637,brand,2115,BRAZIL,P100044,sports,ASIA PACIFIC,Market watch,4,4
trend_hub_637,brand,2115,BRAZIL,P100019,education,ASIA PACIFIC,Launch teaser,1,1
trend_hub_637,brand,2115,BRAZIL,P100013,technology,LATIN AMERICA,Study notes,2,2
travel_zone_532,verified_creator,161863,USA,P100114,health,MIDDLE EAST,Travel moments,8,9
travel_zone_532,verified_creator,161863,USA,P100098,education,MIDDLE EAST,Study notes,0,0
travel_zone_532,verified_creator,161863,USA,P100081,travel,ASIA PACIFIC,Morning update,0,0
travel_zone_532,verified_creator,161863,USA,P100031,sports,LATIN AMERICA,Creator diary,3,3
daily_stories_294,business,0,JORDAN,P100185,technology,LATIN AMERICA,Breaking story,0,0
daily_stories_294,business,0,JORDAN,P100155,business,MIDDLE EAST,Launch teaser,2,2
daily_stories_294,business,0,JORDAN,P100119,entertainment,NORTH AMERICA,Travel moments,4,4
viral_media_559,media,253,CANADA,P100150,entertainment,,Launch teaser,3,4
viral_media_559,media,253,CANADA,P100132,technology,MIDDLE EAST,Quick tips,1,2
viral_media_559,media,253,CANADA,P100003,business,MIDDLE EAST,Weekly roundup,2,2
urban_hub_780,verified_creator,334,CANADA,P100131,news,NORTH AMERICA,Weekly roundup,2,2
urban_hub_780,verified_creator,334,CANADA,P100118,health,ASIA PACIFIC,Behind the scenes,3,4
urban_hub_780,verified_creator,334,CANADA,P100102,entertainment,ASIA PACIFIC,Weekly roundup,0,0
urban_hub_780,verified_creator,334,CANADA,P100040,health,ASIA PACIFIC,Match highlights,5,6
urban_hub_780,verified_creator,334,CANADA,P100036,travel,LATIN AMERICA,Travel moments,2,3
global_feed_924,verified_creator,255711,POLAND,P100216,sports,MIDDLE EAST,Study notes,6,6
global_feed_924,verified_creator,255711,POLAND,P100165,education,LATIN AMERICA,Match highlights,1,1
global_feed_924,verified_creator,255711,POLAND,P100158,technology,EUROPE,Launch teaser,0,0
viral_feed_294,verified_creator,0,NETHERLANDS,P100221,technology,ASIA PACIFIC,Morning update,1,2
viral_feed_294,verified_creator,0,NETHERLANDS,P100057,lifestyle,AFRICA,Launch teaser,4,5
viral_feed_294,verified_creator,0,NETHERLANDS,P100017,travel,NORTH AMERICA,Behind the scenes,0,0
smart_world_797,verified_creator,435,CANADA,P100176,education,LATIN AMERICA,Creator diary,3,4
smart_world_797,verified_creator,435,CANADA,P100154,news,EUROPE,Launch teaser,2,2
pixel_studio_817,personal,151,CANADA,P100149,technology,ASIA PACIFIC,Breaking story,1,1
pixel_studio_817,personal,151,CANADA,P100110,technology,MIDDLE EAST,Weekly roundup,2,3
tech_stories_434,personal,186403,SAUDI ARABIA,P100217,lifestyle,EUROPE,Market watch,1,1
tech_stories_434,personal,186403,SAUDI ARABIA,P100157,technology,EUROPE,Morning update,1,1
global_zone_876,business,437883,UAE,P100171,technology,ASIA PACIFIC,Behind the scenes,1,1
global_zone_876,business,437883,UAE,P100069,technology,MIDDLE EAST,Community question,3,4
global_zone_876,business,437883,UAE,P100009,technology,EUROPE,Travel moments,2,3
urban_hub_273,brand,28787,POLAND,P100156,technology,MIDDLE EAST,Market watch,1,1
urban_hub_273,brand,28787,POLAND,P100121,technology,,Weekly roundup,2,2
pixel_hub_329,verified_creator,649,JORDAN,P100129,business,ASIA PACIFIC,Quick tips,0,0
food_studio_601,personal,366,INDIA,P100103,sports,EUROPE,Launch teaser,1,1
food_studio_601,personal,366,INDIA,P100004,business,AFRICA,Quick tips,3,3
global_zone_157,media,6474,MOROCCO,P100207,education,MIDDLE EAST,Market watch,1,1
global_zone_157,media,6474,MOROCCO,P100198,education,ASIA PACIFIC,Study notes,0,0
global_zone_157,media,6474,MOROCCO,P100140,travel,EUROPE,Study notes,3,3
global_zone_157,media,6474,MOROCCO,P100049,technology,AFRICA,Morning update,3,4
global_zone_157,media,6474,MOROCCO,P100014,business,ASIA PACIFIC,Weekly roundup,1,1
social_hub_574,brand,10834,NETHERLANDS,P100194,technology,,Quick tips,2,3
social_hub_574,brand,10834,NETHERLANDS,P100086,technology,NORTH AMERICA,Behind the scenes,1,1
social_hub_574,brand,10834,NETHERLANDS,P100029,health,NORTH AMERICA,Breaking story,1,1
buzz_pulse_648,brand,208947,SPAIN,P100062,health,EUROPE,Launch teaser,1,1
buzz_media_300,creator,4702,NETHERLANDS,P100177,news,EUROPE,Morning update,1,1
pixel_stories_311,brand,4345,BRAZIL,P100152,entertainment,NORTH AMERICA,Match highlights,3,3
pixel_stories_311,brand,4345,BRAZIL,P100148,travel,MIDDLE EAST,Community question,5,7
pixel_stories_311,brand,4345,BRAZIL,P100099,health,MIDDLE EAST,Market watch,2,2
pixel_stories_311,brand,4345,BRAZIL,P100094,travel,LATIN AMERICA,Study notes,2,2
unknown_user,personal,0,CANADA,P100130,entertainment,NORTH AMERICA,Quick tips,3,3
unknown_user,personal,0,CANADA,P100125,lifestyle,ASIA PACIFIC,Morning update,1,1
food_stories_295,brand,2485,SAUDI ARABIA,P100128,lifestyle,MIDDLE EAST,Morning update,4,5
food_stories_295,brand,2485,SAUDI ARABIA,P100115,lifestyle,ASIA PACIFIC,Community question,0,0
food_stories_295,brand,2485,SAUDI ARABIA,P100060,health,EUROPE,Launch teaser,5,5
food_stories_295,brand,2485,SAUDI ARABIA,P100037,sports,ASIA PACIFIC,Study notes,4,4
travel_zone_415,business,259,UAE,P100192,technology,MIDDLE EAST,Breaking story,4,5
travel_zone_415,business,259,UAE,P100170,education,MIDDLE EAST,Weekly roundup,1,1
travel_zone_415,business,259,UAE,P100052,news,MIDDLE EAST,Launch teaser,1,1
travel_zone_415,business,259,UAE,P100046,sports,LATIN AMERICA,Morning update,1,1
global_vibes_719,verified_creator,3363,JORDAN,P100215,education,AFRICA,Market watch,0,0
global_vibes_719,verified_creator,3363,JORDAN,P100002,sports,LATIN AMERICA,Creator diary,0,0
spark_feed_113,media,371949,JORDAN,P100126,news,NORTH AMERICA,Quick tips,1,2
trend_vibes_740,brand,84066,GERMANY,P100096,news,ASIA PACIFIC,Weekly roundup,3,3
trend_vibes_740,brand,84066,GERMANY,P100048,news,AFRICA,Morning update,5,6
trend_vibes_740,brand,84066,GERMANY,P100033,technology,ASIA PACIFIC,Weekly roundup,0,0
news_studio_195,verified_creator,0,ITALY,P100015,sports,NORTH AMERICA,Quick tips,2,2
daily_vibes_205,creator,395,UAE,P100104,entertainment,,Market watch,3,3
daily_vibes_205,creator,395,UAE,P100091,technology,MIDDLE EAST,Morning update,2,2
daily_vibes_205,creator,395,UAE,P100016,business,NORTH AMERICA,Weekly roundup,3,4
fit_pulse_375,verified_creator,36028,EGYPT,P100224,technology,EUROPE,Creator diary,0,0
fit_pulse_375,verified_creator,36028,EGYPT,P100182,sports,MIDDLE EAST,Breaking story,0,0
fit_pulse_375,verified_creator,36028,EGYPT,P100117,health,AFRICA,Breaking story,2,2
fit_pulse_375,verified_creator,36028,EGYPT,P100112,business,ASIA PACIFIC,Match highlights,0,0
fit_pulse_375,verified_creator,36028,EGYPT,P100050,technology,MIDDLE EAST,Travel moments,2,3
buzz_spot_511,creator,4824,GERMANY,P100200,business,MIDDLE EAST,Behind the scenes,2,2
buzz_spot_511,creator,4824,GERMANY,P100083,business,EUROPE,Behind the scenes,0,0
buzz_spot_511,creator,4824,GERMANY,P100054,sports,LATIN AMERICA,Community question,2,2
buzz_spot_511,creator,4824,GERMANY,P100005,technology,MIDDLE EAST,Breaking story,2,2
smart_vibes_514,brand,407861,FRANCE,P100205,technology,NORTH AMERICA,Travel moments,0,0
smart_vibes_514,brand,407861,FRANCE,P100174,health,LATIN AMERICA,Behind the scenes,3,3
smart_vibes_514,brand,407861,FRANCE,P100145,,MIDDLE EAST,Match highlights,0,0
smart_vibes_514,brand,407861,FRANCE,P100138,travel,LATIN AMERICA,Travel moments,1,1
smart_vibes_514,brand,407861,FRANCE,P100075,travel,MIDDLE EAST,Behind the scenes,1,1
global_media_341,verified_creator,2582,UAE,P100144,sports,ASIA PACIFIC,Behind the scenes,3,4
global_media_341,verified_creator,2582,UAE,P100201,health,NORTH AMERICA,Quick tips,6,6
global_media_341,verified_creator,2582,UAE,P100144,sports,ASIA PACIFIC,Behind the scenes,3,4
global_media_341,verified_creator,2582,UAE,P100092,news,NORTH AMERICA,Market watch,3,3
daily_spot_220,brand,294109,USA,P100093,technology,ASIA PACIFIC,Weekly roundup,1,1
daily_spot_220,brand,294109,USA,P100045,entertainment,EUROPE,Morning update,2,2
daily_stories_332,media,3677,FRANCE,P100204,technology,EUROPE,Community question,2,3
daily_stories_332,media,3677,FRANCE,P100151,health,AFRICA,Study notes,2,2
daily_stories_332,media,3677,FRANCE,P100082,technology,LATIN AMERICA,Launch teaser,0,0
travel_insights_281,brand,6513,USA,P100135,education,NORTH AMERICA,Community question,5,5
travel_insights_281,brand,6513,USA,P100107,lifestyle,MIDDLE EAST,Quick tips,3,3
social_media_248,brand,13386,FRANCE,P100196,education,ASIA PACIFIC,Study notes,1,1
social_media_248,brand,13386,FRANCE,P100071,health,MIDDLE EAST,Community question,2,2
urban_studio_310,media,147341,UAE,P100136,technology,,Behind the scenes,1,1
urban_studio_310,media,147341,UAE,P100027,sports,NORTH AMERICA,Market watch,3,3
urban_studio_310,media,147341,UAE,P100001,technology,NORTH AMERICA,Travel moments,2,2
smart_spot_281,business,164773,ITALY,P100153,education,MIDDLE EAST,Travel moments,1,1
tech_pulse_915,verified_creator,64,UK,P100203,health,AFRICA,Market watch,3,3
tech_pulse_915,verified_creator,64,UK,P100195,sports,MIDDLE EAST,Launch teaser,3,3
tech_pulse_915,verified_creator,64,UK,P100097,lifestyle,NORTH AMERICA,Launch teaser,3,3
tech_pulse_915,verified_creator,64,UK,P100084,news,MIDDLE EAST,Travel moments,2,3
tech_pulse_915,verified_creator,64,UK,P100020,travel,NORTH AMERICA,Study notes,3,4
social_lab_47,creator,149329,GERMANY,P100189,news,MIDDLE EAST,Breaking story,5,6
social_lab_47,creator,149329,GERMANY,P100175,travel,ASIA PACIFIC,Community question,4,6
social_lab_47,creator,149329,GERMANY,P100162,health,ASIA PACIFIC,Travel moments,1,1
social_lab_47,creator,149329,GERMANY,P100035,health,MIDDLE EAST,Behind the scenes,0,0
urban_feed_212,business,126,MOROCCO,P100199,technology,LATIN AMERICA,Morning update,2,2
urban_feed_212,business,126,MOROCCO,P100193,technology,MIDDLE EAST,Weekly roundup,3,4
urban_feed_212,business,126,MOROCCO,P100147,entertainment,LATIN AMERICA,Launch teaser,2,2
urban_feed_212,business,126,MOROCCO,P100106,technology,NORTH AMERICA,Creator diary,2,2
urban_feed_212,business,126,MOROCCO,P100088,technology,MIDDLE EAST,Behind the scenes,2,2
social_pulse_874,brand,438893,TURKEY,P100180,education,MIDDLE EAST,Creator diary,4,5
social_pulse_874,brand,438893,TURKEY,P100142,travel,ASIA PACIFIC,Launch teaser,1,1
social_pulse_874,brand,438893,TURKEY,P100124,health,EUROPE,Launch teaser,0,0
social_pulse_874,brand,438893,TURKEY,P100066,sports,NORTH AMERICA,Quick tips,1,1
social_pulse_874,brand,438893,TURKEY,P100008,entertainment,LATIN AMERICA,Community question,1,1
fit_insights_247,business,0,USA,P100206,technology,EUROPE,Breaking story,0,0
fit_insights_247,business,0,USA,P100181,health,EUROPE,Creator diary,3,3
fit_insights_247,business,0,USA,P100137,technology,ASIA PACIFIC,Community question,0,0
fit_insights_247,business,0,USA,P100095,business,MIDDLE EAST,Match highlights,4,4
food_vibes_516,media,40,POLAND,P100183,technology,NORTH AMERICA,Creator diary,1,1
food_vibes_516,media,40,POLAND,P100006,technology,ASIA PACIFIC,Launch teaser,0,0
